"vote","prtvede1","prtvede2","gndr","agea"
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",86
"Yes","The Greens","The Left (Die Linke)","Female",69
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",31
"No",NA,NA,"Female",46
"Yes","Social Democratic Party (SPD)","The Greens","Male",46
"Yes",NA,NA,"Male",32
"Yes",NA,"The Greens","Female",49
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes",NA,NA,"Female",86
"Yes",NA,"Social Democratic Party (SPD)","Female",86
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Other","Female",28
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",59
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",24
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",90
"No",NA,NA,"Male",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",72
"No",NA,NA,"Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",25
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",54
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",53
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",68
"Not eligible to vote",NA,NA,"Female",18
"Yes","The Greens","The Greens","Male",65
"Not eligible to vote",NA,NA,"Female",18
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",81
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",82
"No",NA,NA,"Male",27
"Yes","Social Democratic Party (SPD)","The Greens","Female",28
"Not eligible to vote",NA,NA,"Male",33
"Not eligible to vote",NA,NA,"Female",30
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",67
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",82
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",77
"Yes","Other","Free Democratic Party (FDP)","Male",64
"Yes",NA,NA,"Female",44
"Yes",NA,NA,"Male",30
"Yes",NA,NA,"Female",89
"Yes","The Left (Die Linke)","The Greens","Male",44
"Yes","The Greens","The Left (Die Linke)","Female",39
"Yes","Social Democratic Party (SPD)","The Greens","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",60
"Yes","The Greens","The Greens","Male",72
"Yes",NA,NA,"Male",41
"Yes","The Greens","The Greens","Male",39
"Yes","Social Democratic Party (SPD)","The Greens","Female",58
"Yes","The Greens","The Left (Die Linke)","Female",23
"Yes",NA,"The Greens","Female",28
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",49
"Not eligible to vote",NA,NA,"Male",55
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Male",65
"Not eligible to vote",NA,NA,"Male",15
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",38
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",51
"Yes","The Left (Die Linke)","Christian Democratic Union (CDU/CSU)","Male",21
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",81
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",78
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",41
"Not eligible to vote",NA,NA,"Female",18
"Not eligible to vote",NA,NA,"Male",37
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",29
"Yes","The Greens","Social Democratic Party (SPD)","Female",66
"Yes","The Greens","Free Democratic Party (FDP)","Male",30
"Yes","The Greens","The Greens","Female",56
"Not eligible to vote",NA,NA,"Male",17
"Yes",NA,"Alternative for Germany (AFD)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",49
"Yes",NA,"Social Democratic Party (SPD)","Male",48
"Yes","The Greens","The Greens","Female",31
"Yes","The Left (Die Linke)","Other","Male",23
"Yes","The Greens","The Greens","Female",42
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",29
"Not eligible to vote",NA,NA,"Male",20
"No",NA,NA,"Male",45
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",88
"No",NA,NA,"Female",80
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",45
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",64
"Not eligible to vote",NA,NA,"Female",41
"Yes","The Greens","The Left (Die Linke)","Female",27
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"Not eligible to vote",NA,NA,"Male",21
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",36
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Male",29
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",79
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","The Left (Die Linke)","The Greens","Female",22
"Yes","Other","Other","Female",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",75
"No",NA,NA,"Female",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",52
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",41
"Not eligible to vote",NA,NA,"Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",68
"Not eligible to vote",NA,NA,"Male",15
"No",NA,NA,"Female",38
"Yes","Social Democratic Party (SPD)","The Greens","Male",64
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",66
"Yes","The Greens","Social Democratic Party (SPD)","Female",63
"Yes",NA,NA,"Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",67
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Female",53
"Yes","The Greens","Social Democratic Party (SPD)","Female",46
"Yes",NA,NA,"Female",64
"Yes",NA,NA,"Female",56
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",70
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",54
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",36
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",49
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",79
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Male",61
"No",NA,NA,"Female",36
"Not eligible to vote",NA,NA,"Female",22
"Yes",NA,NA,"Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",26
"Yes",NA,NA,"Female",65
"Yes","Social Democratic Party (SPD)","The Greens","Male",55
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",64
"No",NA,NA,"Female",37
"Yes",NA,"Social Democratic Party (SPD)","Female",72
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",27
"Yes","The Greens","Other","Female",47
"No",NA,NA,"Male",23
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",27
"Yes",NA,NA,"Female",44
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",79
"No",NA,NA,"Female",73
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",47
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",62
"No",NA,NA,"Female",50
"No",NA,NA,"Female",39
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",73
"Yes",NA,NA,"Female",33
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",28
"Not eligible to vote",NA,NA,"Female",16
"No",NA,NA,"Female",60
"Yes",NA,NA,"Male",65
"Yes","The Greens","The Greens","Female",59
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",53
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",30
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",52
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",69
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",25
"Yes",NA,NA,"Female",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",82
"Not eligible to vote",NA,NA,"Male",18
"Yes","Other",NA,"Female",33
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",53
"Yes","The Greens","The Greens","Male",59
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",61
"Yes","The Greens","The Greens","Female",26
"No",NA,NA,"Male",55
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",59
"Not eligible to vote",NA,NA,"Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",77
"Yes",NA,NA,"Female",45
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","The Left (Die Linke)","Alternative for Germany (AFD)","Male",74
"Yes","Free Democratic Party (FDP)","The Greens","Male",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",81
"Yes",NA,NA,"Male",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",67
"Yes","Social Democratic Party (SPD)","The Greens","Male",39
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",23
"Not eligible to vote",NA,NA,"Male",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",28
"Yes","The Greens","Social Democratic Party (SPD)","Male",52
"No",NA,NA,"Male",23
"No",NA,NA,"Male",67
"No",NA,NA,"Male",49
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",62
"Yes","Alternative for Germany (AFD)",NA,"Male",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",49
"Yes","The Greens","The Greens","Male",75
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",39
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",34
"No",NA,NA,"Female",69
"Yes","The Greens","The Greens","Male",31
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Male",46
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",68
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",67
"Yes","Other","Other","Male",71
"No",NA,NA,"Female",34
"Not eligible to vote",NA,NA,"Male",18
"Yes","The Greens","The Greens","Male",39
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",50
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",65
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",63
"No",NA,NA,"Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",49
"Yes",NA,NA,"Female",56
"No",NA,NA,"Female",24
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",32
"Yes","The Greens","The Greens","Male",76
"Not eligible to vote",NA,NA,"Female",15
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",45
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",44
"Yes",NA,"The Greens","Female",55
"Yes","Social Democratic Party (SPD)","The Greens","Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",84
"Not eligible to vote",NA,NA,"Male",34
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Male",20
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",80
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",64
"Yes",NA,NA,"Female",57
"Yes","The Greens","Social Democratic Party (SPD)","Female",71
"No",NA,NA,"Male",45
"No",NA,NA,"Male",44
"No",NA,NA,"Male",55
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",64
"Yes",NA,NA,"Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",19
"Yes","Social Democratic Party (SPD)","The Greens","Male",54
"Yes","Alternative for Germany (AFD)","National Democratic Party (NPD)","Male",28
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",44
"Not eligible to vote",NA,NA,"Female",18
"No",NA,NA,"Female",66
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",23
"Yes",NA,"The Greens","Male",61
"Not eligible to vote",NA,NA,"Female",62
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",76
"Yes","The Greens","The Greens","Female",26
"No",NA,NA,"Female",36
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",59
"Yes","The Greens","The Greens","Female",63
"No",NA,NA,"Male",41
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",51
"Yes","The Greens","The Greens","Female",25
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",41
"Yes","Other","Social Democratic Party (SPD)","Female",63
"Yes","The Greens","The Greens","Female",29
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",89
"Not eligible to vote",NA,NA,"Female",17
"Yes",NA,"Alternative for Germany (AFD)","Female",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",74
"Yes","The Greens","The Greens","Female",25
"Not eligible to vote",NA,NA,"Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",22
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",77
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",32
"Yes",NA,NA,"Female",60
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",42
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",35
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",86
"Yes","Christian Democratic Union (CDU/CSU)","Other","Female",35
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Male",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",61
"No",NA,NA,"Female",44
"Not eligible to vote",NA,NA,"Female",23
"Not eligible to vote",NA,NA,"Female",19
"Not eligible to vote",NA,NA,"Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",46
"Not eligible to vote",NA,NA,"Male",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",61
"No",NA,NA,"Female",22
"Not eligible to vote",NA,NA,"Female",15
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",58
"Yes",NA,NA,"Male",38
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",86
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Male",64
"Yes",NA,"The Greens","Female",63
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",45
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",83
"Not eligible to vote",NA,NA,"Female",30
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",54
"Yes",NA,"The Greens","Male",45
"No",NA,NA,"Female",49
"Yes","Other","Social Democratic Party (SPD)","Male",54
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",52
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Male",41
"Yes","The Greens","Social Democratic Party (SPD)","Male",39
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",30
"No",NA,NA,"Female",39
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",77
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",64
"Yes",NA,"Free Democratic Party (FDP)","Male",22
"Not eligible to vote",NA,NA,"Male",26
"Yes","Social Democratic Party (SPD)",NA,"Female",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes",NA,NA,"Female",47
"Yes",NA,"Social Democratic Party (SPD)","Female",53
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Not eligible to vote",NA,NA,"Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",42
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",34
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",40
"Yes",NA,NA,"Male",21
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",66
"Yes","Social Democratic Party (SPD)","The Greens","Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",35
"Yes",NA,"The Left (Die Linke)","Female",22
"Not eligible to vote",NA,NA,"Female",16
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"No",NA,NA,"Female",77
"Yes","Free Democratic Party (FDP)","The Greens","Female",55
"Yes","The Greens","The Greens","Male",90
"Yes","The Greens","The Greens","Male",66
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",31
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Not eligible to vote",NA,NA,"Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",62
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",71
"Yes","Other",NA,"Female",54
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",32
"Yes",NA,NA,"Male",56
"No",NA,NA,"Male",30
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",60
"No",NA,NA,"Male",56
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",81
"Yes",NA,NA,"Female",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",62
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",53
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",78
"Yes",NA,"Free Democratic Party (FDP)","Female",51
"Yes",NA,NA,"Male",48
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",46
"Yes",NA,NA,"Male",55
"Yes",NA,NA,"Male",83
"No",NA,NA,"Male",24
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",62
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",54
"Yes",NA,NA,"Male",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",70
"Yes","Other","Other","Male",27
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",28
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",33
"Yes",NA,NA,"Male",79
"No",NA,NA,"Female",16
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",22
"Not eligible to vote",NA,NA,"Female",35
"No",NA,NA,"Female",44
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",56
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",61
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",72
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",60
"No",NA,NA,"Male",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",55
"Yes","The Greens","The Greens","Female",43
"No",NA,NA,"Male",22
"Yes",NA,"Social Democratic Party (SPD)","Male",47
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",89
"Yes","The Left (Die Linke)","Christian Democratic Union (CDU/CSU)","Male",43
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",81
"Yes","Free Democratic Party (FDP)","The Left (Die Linke)","Male",32
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",66
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",54
"Yes","Free Democratic Party (FDP)","Alternative for Germany (AFD)","Male",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"No",NA,NA,"Male",51
"Yes","The Greens","The Greens","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",67
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",85
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",37
"Not eligible to vote",NA,NA,"Female",30
"No",NA,NA,"Female",26
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Male",36
"Not eligible to vote",NA,NA,"Female",37
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",40
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",22
"Yes",NA,"The Greens","Male",29
"Not eligible to vote",NA,NA,"Male",35
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",20
"Yes","The Greens","The Greens","Female",82
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",63
"Yes","The Greens","The Greens","Male",51
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",78
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",42
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",29
"Yes","The Greens","The Greens","Female",54
"Not eligible to vote",NA,NA,"Male",33
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",71
"Yes","The Greens","Social Democratic Party (SPD)","Male",71
"Not eligible to vote",NA,NA,"Male",54
"Yes",NA,NA,"Male",65
"Yes","The Greens","Social Democratic Party (SPD)","Male",46
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",59
"Yes",NA,NA,"Female",34
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",51
"No",NA,NA,"Male",25
"Not eligible to vote",NA,NA,"Female",38
"Yes",NA,NA,"Male",NA
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",71
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Male",61
"Yes",NA,NA,"Male",77
"Not eligible to vote",NA,NA,"Female",18
"Yes","Other","The Greens","Male",23
"Yes",NA,NA,"Male",64
"Yes",NA,NA,"Female",47
"Yes",NA,NA,"Female",40
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",58
"Yes","The Left (Die Linke)",NA,"Female",68
"Yes",NA,NA,"Female",50
"Not eligible to vote",NA,NA,"Male",34
"Yes",NA,NA,"Female",53
"Yes","The Greens","The Greens","Male",57
"Not eligible to vote",NA,NA,"Female",18
"Yes","Christian Democratic Union (CDU/CSU)","The Left (Die Linke)","Female",83
"No",NA,NA,"Male",76
"Not eligible to vote",NA,NA,"Male",17
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Other","Male",57
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",47
