Year,Province,Electoral District,Party,Votes Obtained,Percentage of Votes Obtained
1927,Ontario,RENFREW NORTH,Progressive Conservative,9132,47.17
1927,Ontario,RENFREW SOUTH,Progressive Conservative,8782,52.99
1927,Ontario,RENFREW SOUTH,Liberal,7791,47.01
1927,Ontario,ROSEDALE,Progressive Conservative,12415,54.28
1927,Ontario,ROSEDALE,Liberal,7122,31.14
1927,Ontario,ROSEDALE,Co-operative Commonwealth Federation,3038,13.28
1927,Ontario,ROSEDALE,Social Credit Party of Canada,299,1.31
1927,Ontario,RUSSELL,Liberal,20673,58.19
1927,Ontario,RUSSELL,Progressive Conservative,12271,34.54
1927,Ontario,RUSSELL,Co-operative Commonwealth Federation,1420,4
1927,Ontario,RUSSELL,Social Credit Party of Canada,1161,3.27
1927,Ontario,SIMCOE EAST,Progressive Conservative,12497,54.78
1927,Ontario,SIMCOE EAST,Liberal,8193,35.92
1927,Ontario,SIMCOE EAST,Co-operative Commonwealth Federation,1395,6.12
1927,Ontario,SIMCOE EAST,Independent,726,3.18
1927,Ontario,SIMCOE NORTH,Progressive Conservative,11437,62.51
1927,Ontario,SIMCOE NORTH,Liberal,6860,37.49
1927,Ontario,SPADINA,Progressive Conservative,10348,43.1
1927,Ontario,SPADINA,Liberal,9496,39.56
1927,Ontario,SPADINA,Co-operative Commonwealth Federation,3031,12.63
1927,Ontario,SPADINA,Labour Progressive Party,668,2.78
1927,Ontario,SPADINA,Social Credit Party of Canada,464,1.93
1927,Ontario,ST. PAUL'S,Progressive Conservative,13243,56.92
1927,Ontario,ST. PAUL'S,Liberal,6586,28.3
1927,Ontario,ST. PAUL'S,Co-operative Commonwealth Federation,2906,12.49
1927,Ontario,ST. PAUL'S,Social Credit Party of Canada,533,2.29
1927,Ontario,STORMONT,Liberal,12505,53.52
1927,Ontario,STORMONT,Progressive Conservative,10215,43.72
1927,Ontario,STORMONT,Social Credit Party of Canada,646,2.76
1927,Ontario,SUDBURY,Liberal,11927,45.99
1927,Ontario,SUDBURY,Progressive Conservative,10440,40.26
1927,Ontario,SUDBURY,Co-operative Commonwealth Federation,3566,13.75
1927,Ontario,TIMISKAMING,Co-operative Commonwealth Federation,6936,35.61
1927,Ontario,TIMISKAMING,Liberal,6896,35.41
1927,Ontario,TIMISKAMING,Progressive Conservative,5645,28.98
1927,Ontario,TIMMINS,Co-operative Commonwealth Federation,6776,38.74
1927,Ontario,TIMMINS,Liberal,6290,35.97
1927,Ontario,TIMMINS,Progressive Conservative,4423,25.29
1927,Ontario,TRINITY,Liberal,7068,36.66
1927,Ontario,TRINITY,Progressive Conservative,6564,34.05
1927,Ontario,TRINITY,Co-operative Commonwealth Federation,4343,22.53
1927,Ontario,TRINITY,Labour Progressive Party,764,3.96
1927,Ontario,TRINITY,Social Credit Party of Canada,539,2.8
1927,Ontario,VICTORIA,Progressive Conservative,14153,65.03
1927,Ontario,VICTORIA,Liberal,5835,26.81
1927,Ontario,VICTORIA,Social Credit Party of Canada,917,4.21
1927,Ontario,VICTORIA,Co-operative Commonwealth Federation,860,3.95
1927,Ontario,WATERLOO NORTH,Liberal,15972,42.32
1927,Ontario,WATERLOO NORTH,Progressive Conservative,13458,35.66
1927,Ontario,WATERLOO NORTH,Co-operative Commonwealth Federation,7406,19.63
1927,Ontario,WATERLOO NORTH,Social Credit Party of Canada,901,2.39
1927,Ontario,WATERLOO SOUTH,Progressive Conservative,11699,47.38
1927,Ontario,WATERLOO SOUTH,Liberal,7450,30.17
1927,Ontario,WATERLOO SOUTH,Co-operative Commonwealth Federation,4009,16.24
1927,Ontario,WATERLOO SOUTH,Social Credit Party of Canada,1532,6.2
1927,Ontario,WELLAND,Liberal,13241,42.42
1927,Ontario,WELLAND,Progressive Conservative,10620,34.02
1927,Ontario,WELLAND,Co-operative Commonwealth Federation,7356,23.56
1927,Ontario,WELLINGTON SOUTH,Progressive Conservative,11632,54.62
1927,Ontario,WELLINGTON SOUTH,Liberal,6090,28.6
1927,Ontario,WELLINGTON SOUTH,Co-operative Commonwealth Federation,3573,16.78
1927,Ontario,WELLINGTON--HURON,Progressive Conservative,9421,62.14
1927,Ontario,WELLINGTON--HURON,Liberal,5741,37.86
1927,Ontario,WENTWORTH,Progressive Conservative,19037,57.93
1927,Ontario,WENTWORTH,Liberal,8922,27.15
1927,Ontario,WENTWORTH,Co-operative Commonwealth Federation,4905,14.93
1927,Ontario,YORK CENTRE,Progressive Conservative,23295,47.39
1927,Ontario,YORK CENTRE,Liberal,16925,34.43
1927,Ontario,YORK CENTRE,Co-operative Commonwealth Federation,8164,16.61
1927,Ontario,YORK CENTRE,Social Credit Party of Canada,777,1.58
1927,Ontario,YORK EAST,Progressive Conservative,17236,51.21
1927,Ontario,YORK EAST,Liberal,9078,26.97
1927,Ontario,YORK EAST,Co-operative Commonwealth Federation,6725,19.98
1927,Ontario,YORK EAST,Social Credit Party of Canada,620,1.84
1927,Ontario,YORK NORTH,Progressive Conservative,17770,58.89
1927,Ontario,YORK NORTH,Liberal,10753,35.63
1927,Ontario,YORK NORTH,Social Credit Party of Canada,1653,5.48
1927,Ontario,YORK SOUTH,Progressive Conservative,16624,40.03
1927,Ontario,YORK SOUTH,Liberal,12232,29.45
1927,Ontario,YORK SOUTH,Co-operative Commonwealth Federation,12024,28.95
1927,Ontario,YORK SOUTH,Social Credit Party of Canada,654,1.57
1927,Ontario,YORK WEST,Progressive Conservative,27035,55.55
1927,Ontario,YORK WEST,Liberal,13665,28.08
1927,Ontario,YORK WEST,Co-operative Commonwealth Federation,6600,13.56
1927,Ontario,YORK WEST,Social Credit Party of Canada,1368,2.81
1927,Ontario,YORK--HUMBER,Progressive Conservative,18449,51.97
1927,Ontario,YORK--HUMBER,Liberal,10851,30.57
1927,Ontario,YORK--HUMBER,Co-operative Commonwealth Federation,4872,13.73
1927,Ontario,YORK--HUMBER,Social Credit Party of Canada,1324,3.73
1927,Ontario,YORK--SCARBOROUGH,Progressive Conservative,42299,56.26
1927,Ontario,YORK--SCARBOROUGH,Liberal,22353,29.73
1927,Ontario,YORK--SCARBOROUGH,Co-operative Commonwealth Federation,8931,11.88
1927,Ontario,YORK--SCARBOROUGH,Social Credit Party of Canada,1600,2.13
1927,Prince Edward Island,KING'S,Progressive Conservative,4598,52.07
1927,Prince Edward Island,KING'S,Liberal,4146,46.95
1927,Prince Edward Island,KING'S,Co-operative Commonwealth Federation,87,0.99
1927,Prince Edward Island,PRINCE,Progressive Conservative,8119,49.68
1927,Prince Edward Island,PRINCE,Liberal,7885,48.25
1927,Prince Edward Island,PRINCE,Co-operative Commonwealth Federation,339,2.07
1927,Prince Edward Island,QUEEN'S,Progressive Conservative,11597,27.86
1927,Prince Edward Island,QUEEN'S,Progressive Conservative,10651,25.58
1927,Prince Edward Island,QUEEN'S,Liberal,9725,23.36
1927,Prince Edward Island,QUEEN'S,Liberal,9406,22.59
1927,Prince Edward Island,QUEEN'S,Co-operative Commonwealth Federation,254,0.61
1927,Quebec,ARGENTEUIL--DEUX-MONTAGNES,Liberal,10084,41.89
1927,Quebec,ARGENTEUIL--DEUX-MONTAGNES,Progressive Conservative,8902,36.98
1927,Quebec,ARGENTEUIL--DEUX-MONTAGNES,Independent Liberal,3983,16.55
1927,Quebec,ARGENTEUIL--DEUX-MONTAGNES,Independent Liberal,1102,4.58
1927,Quebec,BEAUCE,Independent,12384,51.72
1927,Quebec,BEAUCE,Liberal,11559,48.28
1927,Quebec,BEAUHARNOIS--SALABERRY,Liberal,14030,65.61
1927,Quebec,BEAUHARNOIS--SALABERRY,Independent Liberal,4246,19.86
1927,Quebec,BEAUHARNOIS--SALABERRY,Progressive Conservative,3109,14.54
1927,Quebec,BELLECHASSE,Liberal,7960,72.91
1927,Quebec,BELLECHASSE,Progressive Conservative,1792,16.41
1927,Quebec,BELLECHASSE,Independent Progressive Conservative,1026,9.4
1927,Quebec,BELLECHASSE,Independent Progressive Conservative,139,1.27
1927,Quebec,BERTHIER--MASKINONGÉ--DELANAUDIÈRE,Liberal,10418,53.52
1927,Quebec,BERTHIER--MASKINONGÉ--DELANAUDIÈRE,Progressive Conservative,9049,46.48
1927,Quebec,BONAVENTURE,Progressive Conservative,8161,50.8
1927,Quebec,BONAVENTURE,Liberal,7903,49.2
1927,Quebec,BROME--MISSISQUOI,Liberal,9255,51.82
1927,Quebec,BROME--MISSISQUOI,Progressive Conservative,8605,48.18
1927,Quebec,CARTIER,Liberal,11955,72.92
1927,Quebec,CARTIER,Progressive Conservative,1909,11.64
1927,Quebec,CARTIER,Independent Liberal,1618,9.87
1927,Quebec,CARTIER,Co-operative Commonwealth Federation,677,4.13
1927,Quebec,CARTIER,Independent Liberal,236,1.44
1927,Quebec,CHAMBLY--ROUVILLE,Liberal,11302,61.47
1927,Quebec,CHAMBLY--ROUVILLE,Progressive Conservative,5858,31.86
1927,Quebec,CHAMBLY--ROUVILLE,Independent Liberal,1035,5.63
1927,Quebec,CHAMBLY--ROUVILLE,Independent Liberal,192,1.04
1927,Quebec,CHAMPLAIN,Liberal,13767,57.95
1927,Quebec,CHAMPLAIN,Progressive Conservative,9988,42.05
1927,Quebec,CHAPLEAU,Liberal,11428,50.81
1927,Quebec,CHAPLEAU,Progressive Conservative,11065,49.19
1928,Quebec,CHARLEVOIX,Liberal,10182,56.03
1928,Quebec,CHARLEVOIX,Progressive Conservative,7532,41.45
1928,Quebec,CHARLEVOIX,Social Credit Party of Canada,246,1.35
1928,Quebec,CHARLEVOIX,Independent Liberal,213,1.17
1928,Quebec,CHÂTEAUGUAY--HUNTINGDON--LAPRAIRIE,Liberal,10066,52.1
1928,Quebec,CHÂTEAUGUAY--HUNTINGDON--LAPRAIRIE,Progressive Conservative,6907,35.75
1928,Quebec,CHÂTEAUGUAY--HUNTINGDON--LAPRAIRIE,Independent Liberal,2346,12.14
1928,Quebec,CHICOUTIMI,Liberal,15124,52.41
1928,Quebec,CHICOUTIMI,Independent,13733,47.59
1928,Quebec,COMPTON--FRONTENAC,Liberal,9328,52
1928,Quebec,COMPTON--FRONTENAC,Progressive Conservative,8270,46.1
1928,Quebec,COMPTON--FRONTENAC,Co-operative Commonwealth Federation,340,1.9
1928,Quebec,DOLLARD,Liberal,21917,68.65
1928,Quebec,DOLLARD,Progressive Conservative,7813,24.47
1928,Quebec,DOLLARD,Co-operative Commonwealth Federation,2197,6.88
1928,Quebec,DORCHESTER,Liberal,8054,51.12
1928,Quebec,DORCHESTER,Progressive Conservative,7702,48.88
1928,Quebec,DRUMMOND--ARTHABASKA,Independent Liberal,11462,35.48
1928,Quebec,DRUMMOND--ARTHABASKA,Liberal,10512,32.54
1928,Quebec,DRUMMOND--ARTHABASKA,Progressive Conservative,10327,31.97
1928,Quebec,GASPÉ,Progressive Conservative,10916,49.02
1928,Quebec,GASPÉ,Liberal,10848,48.72
1928,Quebec,GASPÉ,Independent,504,2.26
1928,Quebec,GATINEAU,Liberal,10770,58.79
1928,Quebec,GATINEAU,Progressive Conservative,5522,30.14
1928,Quebec,GATINEAU,Independent Liberal,2028,11.07
1928,Quebec,HOCHELAGA,Liberal,20611,75.93
1928,Quebec,HOCHELAGA,Progressive Conservative,4063,14.97
1928,Quebec,HOCHELAGA,Labour Progressive Party,1675,6.17
1928,Quebec,HOCHELAGA,Co-operative Commonwealth Federation,796,2.93
1928,Quebec,HULL,Liberal,15551,44.66
1928,Quebec,HULL,Independent Liberal,11981,34.41
1928,Quebec,HULL,Progressive Conservative,4922,14.14
1928,Quebec,HULL,Social Credit Party of Canada,2363,6.79
1928,Quebec,ÎLES-DE-LA-MADELEINE,Liberal,2472,53.18
1928,Quebec,ÎLES-DE-LA-MADELEINE,Independent,2145,46.15
1928,Quebec,ÎLES-DE-LA-MADELEINE,Independent Liberal,31,0.67
1928,Quebec,JACQUES-CARTIER--LASALLE,Progressive Conservative,23378,48.15
1928,Quebec,JACQUES-CARTIER--LASALLE,Liberal,23235,47.86
1928,Quebec,JACQUES-CARTIER--LASALLE,Co-operative Commonwealth Federation,1939,3.99
1928,Quebec,JOLIETTE--L'ASSOMPTION--MONTCALM,Liberal,19445,81.52
1928,Quebec,JOLIETTE--L'ASSOMPTION--MONTCALM,Progressive Conservative,4409,18.48
1928,Quebec,KAMOURASKA,Independent,6489,52.01
1928,Quebec,KAMOURASKA,Liberal,5988,47.99
1928,Quebec,LABELLE,Independent Progressive Conservative,9406,53.9
1928,Quebec,LABELLE,Liberal,8045,46.1
1928,Quebec,LAC-SAINT-JEAN,Liberal,10129,61.38
1928,Quebec,LAC-SAINT-JEAN,Progressive Conservative,6374,38.62
1928,Quebec,LAFONTAINE,Liberal,15501,73.16
1928,Quebec,LAFONTAINE,Progressive Conservative,4593,21.68
1928,Quebec,LAFONTAINE,Co-operative Commonwealth Federation,1095,5.17
1928,Quebec,LAPOINTE,Liberal,13671,52.51
1928,Quebec,LAPOINTE,Independent,12363,47.49
1928,Quebec,LAURIER,Liberal,11336,63.04
1928,Quebec,LAURIER,Progressive Conservative,5321,29.59
1928,Quebec,LAURIER,Independent Liberal,712,3.96
1928,Quebec,LAURIER,Labour Progressive Party,342,1.9
1928,Quebec,LAURIER,Co-operative Commonwealth Federation,270,1.5
1928,Quebec,LAVAL,Liberal,26254,60.61
1928,Quebec,LAVAL,Independent,10333,23.85
1928,Quebec,LAVAL,Progressive Conservative,5525,12.75
1928,Quebec,LAVAL,Co-operative Commonwealth Federation,1205,2.78
1928,Quebec,LÉVIS,Liberal,14693,71.8
1928,Quebec,LÉVIS,Progressive Conservative,5770,28.2
1928,Quebec,LONGUEUIL,Liberal,19314,58.87
1928,Quebec,LONGUEUIL,Progressive Conservative,10942,33.35
1928,Quebec,LONGUEUIL,Co-operative Commonwealth Federation,1768,5.39
1928,Quebec,LONGUEUIL,Independent Progressive Conservative,782,2.38
1928,Quebec,LOTBINIÈRE,Progressive Conservative,8372,51.69
1928,Quebec,LOTBINIÈRE,Liberal,7823,48.31
1928,Quebec,MAISONNEUVE--ROSEMONT,Liberal,25041,70.68
1928,Quebec,MAISONNEUVE--ROSEMONT,Progressive Conservative,7718,21.78
1928,Quebec,MAISONNEUVE--ROSEMONT,Co-operative Commonwealth Federation,2670,7.54
1928,Quebec,MATAPÉDIA--MATANE,Liberal,11642,51.67
1928,Quebec,MATAPÉDIA--MATANE,Progressive Conservative,10889,48.33
1928,Quebec,MÉGANTIC,Liberal,15378,64.95
1928,Quebec,MÉGANTIC,Progressive Conservative,8300,35.05
1928,Quebec,MERCIER,Liberal,30024,74.84
1928,Quebec,MERCIER,Progressive Conservative,10093,25.16
1928,Quebec,MONTMAGNY--L'ISLET,Liberal,9772,59.55
1928,Quebec,MONTMAGNY--L'ISLET,Independent,6637,40.45
1928,Quebec,MOUNT ROYAL,Liberal,23330,60.42
1928,Quebec,MOUNT ROYAL,Progressive Conservative,13861,35.9
1928,Quebec,MOUNT ROYAL,Co-operative Commonwealth Federation,1420,3.68
1928,Quebec,NICOLET--YAMASKA,Progressive Conservative,9805,51.34
1928,Quebec,NICOLET--YAMASKA,Liberal,9292,48.66
1928,Quebec,NOTRE-DAME-DE-GRÂCE,Progressive Conservative,24517,56.86
1928,Quebec,NOTRE-DAME-DE-GRÂCE,Liberal,17551,40.71
1928,Quebec,NOTRE-DAME-DE-GRÂCE,Co-operative Commonwealth Federation,1049,2.43
1928,Quebec,OUTREMONT--ST-JEAN,Liberal,13840,72.7
1928,Quebec,OUTREMONT--ST-JEAN,Progressive Conservative,3899,20.48
1928,Quebec,OUTREMONT--ST-JEAN,Co-operative Commonwealth Federation,1299,6.82
1928,Quebec,PAPINEAU,Liberal,24373,78.35
1928,Quebec,PAPINEAU,Progressive Conservative,4177,13.43
1928,Quebec,PAPINEAU,Co-operative Commonwealth Federation,2556,8.22
1928,Quebec,PONTIAC--TÉMISCAMINGUE,Liberal,8642,52.31
1928,Quebec,PONTIAC--TÉMISCAMINGUE,Progressive Conservative,7878,47.69
1928,Quebec,PORTNEUF,Liberal,11328,58.3
1928,Quebec,PORTNEUF,Progressive Conservative,8102,41.7
1928,Quebec,QUEBEC EAST,Liberal,27364,72
1928,Quebec,QUEBEC EAST,Progressive Conservative,9900,26.05
1928,Quebec,QUEBEC EAST,Social Credit Party of Canada,739,1.94
1928,Quebec,QUEBEC SOUTH,Liberal,17709,61.88
1928,Quebec,QUEBEC SOUTH,Progressive Conservative,9659,33.75
1928,Quebec,QUEBEC SOUTH,Independent Liberal,1092,3.82
1928,Quebec,QUEBEC SOUTH,Independent,160,0.56
1928,Quebec,QUEBEC WEST,Liberal,11828,47.58
1928,Quebec,QUEBEC WEST,Progressive Conservative,10981,44.17
1928,Quebec,QUEBEC WEST,Independent Liberal,1520,6.11
1928,Quebec,QUEBEC WEST,Social Credit Party of Canada,529,2.13
1928,Quebec,QUÉBEC--MONTMORENCY,Liberal,24964,63.87
1928,Quebec,QUÉBEC--MONTMORENCY,Progressive Conservative,14121,36.13
1928,Quebec,RICHELIEU--VERCHÈRES,Liberal,16003,81.72
1928,Quebec,RICHELIEU--VERCHÈRES,Independent Progressive Conservative,2830,14.45
1928,Quebec,RICHELIEU--VERCHÈRES,Progressive Conservative,749,3.82
1928,Quebec,RICHMOND--WOLFE,Liberal,10300,46.71
1928,Quebec,RICHMOND--WOLFE,Progressive Conservative,7243,32.85
1928,Quebec,RICHMOND--WOLFE,Independent Liberal,4508,20.44
1928,Quebec,RIMOUSKI,Liberal,14642,60.02
1928,Quebec,RIMOUSKI,Progressive Conservative,9754,39.98
1928,Quebec,ROBERVAL,Liberal,10860,60.01
1928,Quebec,ROBERVAL,Progressive Conservative,7236,39.99
1928,Quebec,SAGUENAY,Liberal,11408,58.21
1928,Quebec,SAGUENAY,Progressive Conservative,8191,41.79
1928,Quebec,SAINT-ANTOINE--WESTMOUNT,Liberal,14485,55.1
1928,Quebec,SAINT-ANTOINE--WESTMOUNT,Progressive Conservative,11802,44.9
1928,Quebec,SAINT-DENIS,Liberal,17027,68.27
1928,Quebec,SAINT-DENIS,Progressive Conservative,4587,18.39
1928,Quebec,SAINT-DENIS,Independent Liberal,2329,9.34
1928,Quebec,SAINT-DENIS,Co-operative Commonwealth Federation,999,4.01
1928,Quebec,SAINTE-MARIE,Liberal,12532,61.66
1928,Quebec,SAINTE-MARIE,Progressive Conservative,7041,34.64
1928,Quebec,SAINTE-MARIE,Co-operative Commonwealth Federation,752,3.7
1928,Quebec,SAINT-HENRI,Liberal,12489,49.12
1928,Quebec,SAINT-HENRI,Independent Liberal,9207,36.21
1928,Quebec,SAINT-HENRI,Progressive Conservative,2766,10.88
1928,Quebec,SAINT-HENRI,Co-operative Commonwealth Federation,963,3.79
1928,Quebec,SAINT-HYACINTHE--BAGOT,Progressive Conservative,13865,54.08
1928,Quebec,SAINT-HYACINTHE--BAGOT,Liberal,11771,45.92
1928,Quebec,SAINT-JACQUES,Liberal,7900,40.98
1928,Quebec,SAINT-JACQUES,Progressive Conservative,5347,27.74
1928,Quebec,SAINT-JACQUES,Independent Liberal,3512,18.22
1928,Quebec,SAINT-JACQUES,Independent Liberal,1789,9.28
1928,Quebec,SAINT-JACQUES,Co-operative Commonwealth Federation,730,3.79
1928,Quebec,SAINT-JEAN--IBERVILLE--NAPIERVILLE,Liberal,13427,52.32
1928,Quebec,SAINT-JEAN--IBERVILLE--NAPIERVILLE,Independent Liberal,11859,46.21
1928,Quebec,SAINT-JEAN--IBERVILLE--NAPIERVILLE,Progressive Conservative,378,1.47
1928,Quebec,SAINT-MAURICE--LAFLÈCHE,Liberal,18714,59.37
1928,Quebec,SAINT-MAURICE--LAFLÈCHE,Progressive Conservative,7686,24.38
1928,Quebec,SAINT-MAURICE--LAFLÈCHE,Co-operative Commonwealth Federation,4369,13.86
1928,Quebec,SAINT-MAURICE--LAFLÈCHE,Independent,751,2.38
1928,Quebec,SHEFFORD,Liberal,14897,62.97
1928,Quebec,SHEFFORD,Progressive Conservative,8760,37.03
1928,Quebec,SHERBROOKE,Liberal,16324,62.51
1928,Quebec,SHERBROOKE,Progressive Conservative,9791,37.49
1928,Quebec,ST. ANN,Independent Liberal,7771,49.39
1928,Quebec,ST. ANN,Liberal,4254,27.04
1928,Quebec,ST. ANN,Progressive Conservative,2807,17.84
1928,Quebec,ST. ANN,Independent Liberal,902,5.73
1928,Quebec,ST. LAWRENCE--ST. GEORGE,Liberal,7758,52.5
1928,Quebec,ST. LAWRENCE--ST. GEORGE,Progressive Conservative,6219,42.09
1928,Quebec,ST. LAWRENCE--ST. GEORGE,Co-operative Commonwealth Federation,440,2.98
1928,Quebec,ST. LAWRENCE--ST. GEORGE,Labour Progressive Party,360,2.44
1928,Quebec,STANSTEAD,Liberal,9827,56.96
1928,Quebec,STANSTEAD,Progressive Conservative,7424,43.04
1928,Quebec,TÉMISCOUATA,Liberal,11558,58.81
1928,Quebec,TÉMISCOUATA,Progressive Conservative,8094,41.19
1928,Quebec,TERREBONNE,Liberal,19515,60.07
1928,Quebec,TERREBONNE,Progressive Conservative,12973,39.93
1928,Quebec,TROIS-RIVIÈRES,Progressive Conservative,15004,50.6
1928,Quebec,TROIS-RIVIÈRES,Liberal,14412,48.6
1928,Quebec,TROIS-RIVIÈRES,Capital familial,237,0.8
1928,Quebec,VAUDREUIL--SOULANGES,Liberal,9055,68.49
1928,Quebec,VAUDREUIL--SOULANGES,Progressive Conservative,4166,31.51
1928,Quebec,VERDUN,Liberal,18695,62.25
1928,Quebec,VERDUN,Progressive Conservative,9037,30.09
1928,Quebec,VERDUN,Co-operative Commonwealth Federation,2299,7.66
1928,Quebec,VILLENEUVE,Liberal,9893,38.05
1928,Quebec,VILLENEUVE,Candidats des électeurs,8129,31.26
1928,Quebec,VILLENEUVE,Progressive Conservative,6034,23.21
1928,Quebec,VILLENEUVE,Co-operative Commonwealth Federation,1947,7.49
1928,Saskatchewan,ASSINIBOIA,Co-operative Commonwealth Federation,10389,47.04
1928,Saskatchewan,ASSINIBOIA,Liberal,8862,40.13
1928,Saskatchewan,ASSINIBOIA,Progressive Conservative,1931,8.74
1928,Saskatchewan,ASSINIBOIA,Social Credit Party of Canada,903,4.09
1928,Saskatchewan,HUMBOLDT--MELFORT,Co-operative Commonwealth Federation,7326,35.74
1928,Saskatchewan,HUMBOLDT--MELFORT,Liberal,5412,26.4
1928,Saskatchewan,HUMBOLDT--MELFORT,Progressive Conservative,4736,23.1
1928,Saskatchewan,HUMBOLDT--MELFORT,Social Credit Party of Canada,3025,14.76
1928,Saskatchewan,KINDERSLEY,Co-operative Commonwealth Federation,8605,38.27
1928,Saskatchewan,KINDERSLEY,Liberal,7336,32.63
1928,Saskatchewan,KINDERSLEY,Progressive Conservative,3777,16.8
1928,Saskatchewan,KINDERSLEY,Social Credit Party of Canada,2767,12.31
1928,Saskatchewan,MACKENZIE,Co-operative Commonwealth Federation,7231,40.68
1928,Saskatchewan,MACKENZIE,Liberal,5299,29.81
1928,Saskatchewan,MACKENZIE,Progressive Conservative,3289,18.5
1928,Saskatchewan,MACKENZIE,Social Credit Party of Canada,1956,11
1928,Saskatchewan,MEADOW LAKE,Liberal,4140,32.45
1928,Saskatchewan,MEADOW LAKE,Co-operative Commonwealth Federation,3253,25.5
1928,Saskatchewan,MEADOW LAKE,Social Credit Party of Canada,2921,22.9
1928,Saskatchewan,MEADOW LAKE,Progressive Conservative,2443,19.15
1928,Saskatchewan,MELVILLE,Liberal,7949,40.63
1928,Saskatchewan,MELVILLE,Co-operative Commonwealth Federation,7590,38.8
1928,Saskatchewan,MELVILLE,Progressive Conservative,2596,13.27
1928,Saskatchewan,MELVILLE,Social Credit Party of Canada,1429,7.3
1928,Saskatchewan,MOOSE JAW--LAKE CENTRE,Co-operative Commonwealth Federation,9834,34.02
1928,Saskatchewan,MOOSE JAW--LAKE CENTRE,Progressive Conservative,9455,32.71
1928,Saskatchewan,MOOSE JAW--LAKE CENTRE,Liberal,6876,23.79
1928,Saskatchewan,MOOSE JAW--LAKE CENTRE,Social Credit Party of Canada,2740,9.48
1928,Saskatchewan,MOOSE MOUNTAIN,Co-operative Commonwealth Federation,6770,33.95
1928,Saskatchewan,MOOSE MOUNTAIN,Liberal,6373,31.96
1928,Saskatchewan,MOOSE MOUNTAIN,Progressive Conservative,3683,18.47
1928,Saskatchewan,MOOSE MOUNTAIN,Social Credit Party of Canada,3117,15.63
1928,Saskatchewan,PRINCE ALBERT,Progressive Conservative,12349,53.08
1928,Saskatchewan,PRINCE ALBERT,Co-operative Commonwealth Federation,5795,24.91
1928,Saskatchewan,PRINCE ALBERT,Liberal,5119,22
1928,Saskatchewan,QU'APPELLE,Progressive Conservative,6217,34.24
1928,Saskatchewan,QU'APPELLE,Liberal,5512,30.36
1928,Saskatchewan,QU'APPELLE,Co-operative Commonwealth Federation,4279,23.57
1928,Saskatchewan,QU'APPELLE,Social Credit Party of Canada,2150,11.84
1928,Saskatchewan,REGINA CITY,Co-operative Commonwealth Federation,14561,35.68
1928,Saskatchewan,REGINA CITY,Liberal,12456,30.52
1928,Saskatchewan,REGINA CITY,Progressive Conservative,10504,25.74
1928,Saskatchewan,REGINA CITY,Social Credit Party of Canada,2958,7.25
1928,Saskatchewan,REGINA CITY,Labour Progressive Party,212,0.52
1928,Saskatchewan,REGINA CITY,National Credit Control,122,0.3
1928,Saskatchewan,ROSETOWN--BIGGAR,Co-operative Commonwealth Federation,9846,45.23
1928,Saskatchewan,ROSETOWN--BIGGAR,Progressive Conservative,5552,25.51
1928,Saskatchewan,ROSETOWN--BIGGAR,Liberal,4994,22.94
1928,Saskatchewan,ROSETOWN--BIGGAR,Social Credit Party of Canada,1375,6.32
1928,Saskatchewan,ROSTHERN,Liberal,6828,36.22
1928,Saskatchewan,ROSTHERN,Social Credit Party of Canada,6193,32.85
1928,Saskatchewan,ROSTHERN,Co-operative Commonwealth Federation,5830,30.93
1928,Saskatchewan,SASKATOON,Progressive Conservative,12905,38.28
1928,Saskatchewan,SASKATOON,Co-operative Commonwealth Federation,12022,35.66
1928,Saskatchewan,SASKATOON,Liberal,6786,20.13
1928,Saskatchewan,SASKATOON,Social Credit Party of Canada,2003,5.94
1928,Saskatchewan,SWIFT CURRENT--MAPLE CREEK,Liberal,9639,37.29
1928,Saskatchewan,SWIFT CURRENT--MAPLE CREEK,Co-operative Commonwealth Federation,8930,34.54
1928,Saskatchewan,SWIFT CURRENT--MAPLE CREEK,Progressive Conservative,4255,16.46
1928,Saskatchewan,SWIFT CURRENT--MAPLE CREEK,Social Credit Party of Canada,3028,11.71
1928,Saskatchewan,THE BATTLEFORDS,Co-operative Commonwealth Federation,8320,39.19
1928,Saskatchewan,THE BATTLEFORDS,Liberal,6287,29.61
1928,Saskatchewan,THE BATTLEFORDS,Progressive Conservative,4325,20.37
1928,Saskatchewan,THE BATTLEFORDS,Social Credit Party of Canada,2298,10.82
1928,Saskatchewan,YORKTON,Co-operative Commonwealth Federation,9712,43.29
1928,Saskatchewan,YORKTON,Liberal,8414,37.5
1928,Saskatchewan,YORKTON,Progressive Conservative,2342,10.44
1928,Saskatchewan,YORKTON,Social Credit Party of Canada,1967,8.77
1928,Yukon,YUKON,Liberal,2422,50.67
1928,Yukon,YUKON,Progressive Conservative,2358,49.33
1928,Ontario,GREY NORTH,Progressive Conservative,12240,59.41
1928,Ontario,GREY NORTH,Liberal,7096,34.44
1928,Ontario,GREY NORTH,Co-operative Commonwealth Federation,1265,6.14
1928,Ontario,LANARK,Progressive Conservative,accl.,NA
1928,Ontario,HASTINGS--FRONTENAC,Progressive Conservative,10513,97.53
1928,Ontario,HASTINGS--FRONTENAC,Labour,266,2.47
1928,Yukon,YUKON,Progressive Conservative,2365,51.39
1928,Yukon,YUKON,Liberal,2237,48.61
